City_ID,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,Punta Arenas,-53.15,-70.9167,12.06,40,0,7.2,CL,2023-09-30 21:01:30
66,Karratha,-20.7377,116.8463,26.39,28,0,4.08,AU,2023-09-30 21:02:33
67,Aktau,43.65,51.2,12.32,58,0,2.35,KZ,2023-09-30 21:02:33
68,Gebeit,21.0667,36.3167,30.47,27,0,1.64,SD,2023-09-30 21:02:33
69,Avarua,-21.2078,-159.775,26.03,89,20,4.63,CK,2023-09-30 21:00:44
70,Okha,53.5739,142.9478,8.84,93,79,2.68,RU,2023-09-30 21:02:34
71,Vorgashor,67.5833,63.95,2.87,98,100,8.37,RU,2023-09-30 21:00:50
72,Port Alfred,-33.5906,26.891,15.24,70,90,9.71,ZA,2023-09-30 21:01:29
73,Almeria,37.1667,-2.3333,19.09,51,16,1.61,ES,2023-09-30 21:04:22
74,Ust-Nera,64.5667,143.2,-4.28,67,12,2.51,RU,2023-09-30 21:04:22
75,Grytviken,-54.2811,-36.5092,1.76,91,61,6.31,GS,2023-09-30 21:00:12
76,Blackmans Bay,-43.0167,147.3167,18.07,50,81,2.61,AU,2023-09-30 21:04:22
77,Kruisfontein,-34.0033,24.7314,12.16,74,2,6.0,ZA,2023-09-30 21:01:50
78,Lihue,21.9789,-159.3672,27.53,74,57,3.78,US,2023-09-30 21:01:00
79,Ta`ū,-14.2336,-169.5144,27.13,78,26,4.48,AS,2023-09-30 21:02:11
80,George Town,5.4112,100.3354,25.28,97,20,0.0,MY,2023-09-30 21:01:28
81,Papatowai,-46.5619,169.4708,10.33,65,81,5.39,NZ,2023-09-30 21:04:22
82,Veinticinco de Mayo,-35.4323,-60.1727,18.88,26,0,0.89,AR,2023-09-30 21:04:23
83,Selfoss,63.9331,-20.9971,8.91,81,100,7.95,IS,2023-09-30 21:04:23
84,Isafjordur,66.0755,-23.124,5.68,88,100,4.18,IS,2023-09-30 21:04:23
85,Chibougamau,49.9168,-74.3659,20.84,46,39,4.22,CA,2023-09-30 21:02:19
86,Bani Walid,31.7566,13.9942,22.01,66,0,5.45,LY,2023-09-30 21:04:23
87,Labrador City,52.9463,-66.9114,19.95,37,40,6.69,CA,2023-09-30 21:00:08
88,Carutapera,-1.195,-46.02,27.12,77,69,5.49,BR,2023-09-30 21:04:23
89,Tonj,7.2737,28.6822,22.76,94,100,2.33,SS,2023-09-30 21:01:59
90,Carnarvon,-24.8667,113.6333,18.04,78,2,6.39,AU,2023-09-30 21:04:23
91,Sinabang,2.4803,96.3801,26.42,85,96,2.86,ID,2023-09-30 21:04:24
92,Ushuaia,-54.8,-68.3,14.81,21,0,3.6,AR,2023-09-30 21:02:54
